airport,FN,FP,TN,TP,total
KORD,271,138,67027,3,67439
KPHL,184,52,28613,1,28850
KSFO,174,45,33768,0,33987
EGLL,173,3,35868,0,36044
KDFW,160,85,52972,5,53222
KSAN,151,143,17229,12,17535
KEWR,147,11,33385,1,33544
SBGR,136,194,16451,9,16790
KSEA,134,118,25556,2,25810
KLGA,103,830,20170,26,21129
LFPG,100,0,33706,0,33806
KATL,100,6,43803,1,43910
UUEE,99,0,27080,0,27179
YSSY,90,383,26143,1,26617
KSFB,87,22,1235,1,1345
LOWW,87,0,18558,0,18645
KBOS,86,68,27204,0,27358
KPHX,85,25,34172,0,34282
KPDX,81,20,13026,1,13128
KJFK,80,118,30196,1,30395
KMSP,79,59,24279,1,24418
LSZH,74,3,17880,0,17957
KFLL,74,34,17342,0,17450
EGKK,72,28,17004,1,17105
EDDM,69,23,26967,0,27059
EDDF,69,0,33942,0,34011
OMDB,69,0,29727,0,29796
KOAK,66,42,13747,1,13856
SBBR,64,532,7760,21,8377
KBNA,61,19,14987,0,15067
KIAD,59,60,21202,1,21322
LFPO,58,5,13005,0,13068
KSDF,57,5,13984,0,14046
KMIA,56,18,17637,3,17714
KIAH,55,4,34108,0,34167
KDCA,54,174,12091,6,12325
KBWI,54,29,16826,0,16909
KIND,53,68,13416,3,13540
KSTL,51,24,14131,0,14206
EGGW,51,21,8389,0,8461
YMML,50,10,19738,2,19800
PANC,49,15,10501,0,10565
KRDU,46,9,13209,0,13264
LTFJ,45,253,17378,6,17682
EHAM,43,1,30860,0,30904
VHHH,43,17,30901,13,30974
RPLL,43,7,18157,1,18208
CYUL,42,17,10558,0,10617
KLAS,42,0,25630,0,25672
ESSA,40,18,15373,1,15432
EGCC,37,28,10452,2,10519
KTUL,36,93,4438,1,4568
YBBN,36,12,16244,0,16292
EDDK,36,15,8389,0,8440
KTPA,36,41,16697,1,16775
KCLT,35,170,12662,3,12870
KSNA,35,64,9546,3,9648
EGLC,34,88,4051,7,4180
KSAT,31,13,6915,0,6959
KSJC,31,189,14394,11,14625
LIMC,31,0,13606,0,13637
LEMD,29,15,26579,0,26623
EDDL,28,35,12428,0,12491
EGBB,28,29,4607,0,4664
KAUS,26,12,4737,1,4776
LSGG,26,0,10632,0,10658
EGSS,26,0,12189,0,12215
EDDH,25,41,9711,0,9777
KMCI,24,7,9068,2,9101
YPPH,24,2,9747,0,9773
LFBO,24,288,5673,58,6043
NZCH,23,187,5676,14,5900
VTBS,22,0,26987,0,27009
NZAA,22,17,11343,0,11382
LEIB,21,11,2072,0,2104
RJBB,20,0,14250,0,14270
EDDS,20,10,7259,0,7289
EKCH,19,1,5634,0,5654
KBUF,18,31,4859,2,4910
EBBR,17,2,6310,0,6329
EDDV,17,13,3410,0,3440
KMDW,16,4,8555,0,8575
LEPA,16,10,5315,0,5341
EDDB,16,0,5905,0,5921
LEMG,15,0,6285,0,6300
LIML,15,7,8174,0,8196
KONT,14,3,1116,0,1133
LEBL,13,4,5537,0,5554
OMDW,13,21,1902,0,1936
MMTJ,13,1,1655,0,1669
ESGG,13,13,3840,0,3866
ULLI,12,1,3613,0,3626
RCKH,12,11,4626,0,4649
YPAD,12,114,4468,15,4609
VTBD,12,0,7250,0,7262
RJFF,12,3,8396,0,8411
CYQB,12,27,1350,1,1390
ENVA,11,4,2583,0,2598
KDTW,11,8,2322,1,2342
LFBD,11,2,4086,0,4099
KPVD,11,23,2364,1,2399
KSMF,11,37,4837,0,4885
EDDP,10,8,2523,0,2541
LTBA,10,30,1278,0,1318
UKBB,10,0,3920,1,3931
KCMH,10,7,4391,0,4408
KSAV,10,75,902,3,990
LFLL,10,0,5148,0,5158
LFML,10,7,2229,0,2246
FACT,10,1,4022,1,4034
CYYJ,9,8,1760,0,1777
RJOO,8,0,4267,0,4275
OBBI,7,0,6146,0,6153
RJAA,7,6,2639,0,2652
KMCO,6,28,2065,0,2099
LEAL,6,0,1536,0,1542
EHEH,6,11,2649,1,2667
ESMS,5,41,1763,0,1809
KMEM,5,0,683,0,688
KRNO,5,1,598,0,604
WBSB,4,0,1520,0,1524
BIKF,4,13,662,0,679
CYOW,4,2,960,0,966
KMKE,4,47,1593,2,1646
KRSW,4,5,880,1,890
LBSF,4,0,1156,0,1160
EGPH,3,1,1971,0,1975
SBFL,3,4,489,0,496
OMAA,3,0,1556,0,1559
KCVG,3,8,3754,0,3765
UDYZ,2,21,675,0,698
OERK,2,0,4360,0,4362
LIRF,2,0,2993,0,2995
VCBI,2,0,1009,0,1011
KMSY,2,31,840,0,873
ESSB,1,1,2542,0,2544
LFMN,1,1,76,0,78
GOBD,1,0,1500,0,1501
MMSD,1,0,447,0,448
GCRR,1,17,96,0,114
LTFE,1,0,1146,0,1147
KPBI,1,2,1341,0,1344
KCLE,1,5,441,0,447
EGAA,1,0,476,0,477
OEDF,1,0,1459,0,1460
SABE,1,0,2444,0,2445
GCFV,0,0,26,0,26
GCLP,0,0,12,0,12
WIII,0,0,666,0,666
CYWG,0,0,6,0,6
GCTS,0,0,5,0,5
FAOR,0,1,848,0,849
UMMS,0,7,249,0,256
MMHO,0,1,529,0,530
TNCB,0,8,24,0,32
SKBO,0,0,37,0,37
KDEN,0,4,322,0,326
KJAX,0,0,7,0,7
MMMX,0,0,38,0,38
RJTY,0,0,4,0,4
KPIT,0,0,38,0,38
KRIC,0,0,1,0,1
KSYR,0,1,9,0,10
NZWN,0,1,5,0,6
LIPE,0,2,564,0,566
MYNN,0,0,1,0,1
MMUN,0,0,755,0,755
ZBAA,0,1,326,0,327
