icaoaircrafttype,FN,FP,TN,TP,total
L2J,4300,3690,1334556,110,1342656
UNKNOWN,859,1717,204865,107,207548
L4J,157,59,37078,1,37295
L2T,108,101,46087,1,46297
L3J,49,17,9342,0,9408
L1T,34,1,7193,0,7228
H1T,5,24,86,2,117
H2T,5,33,151,13,202
L4T,4,11,312,1,328
H1P,3,10,38,2,53
L2P,1,69,118,10,198
X,0,0,1,0,1
L4P,0,0,1,0,1
L1P,0,127,694,9,830
L1J,0,3,4,0,7
82R,0,0,22,0,22
A21N,0,0,45,0,45
GLF6,0,8,123,0,131
GLF5,0,0,6,0,6
GL5T,0,0,5,0,5
G550,0,0,9,0,9
FA8X,0,0,46,0,46
FA7X,0,0,10,0,10
F2TH,0,0,11,0,11
C68A,0,0,32,0,32
B734,0,0,5,0,5
AT76,0,0,98,0,98
A332,0,0,7,0,7
A319,0,0,4,0,4
a320,0,0,63,0,63
