runway,FN,FP,TN,TP,total
27,241,212,50977,17,51447
27R,231,11,53897,0,54139
27L,193,92,51148,4,51437
09R,190,194,24890,9,25283
16R,156,115,28949,2,29222
26L,141,57,67126,1,67325
04R,131,117,30253,0,30501
09L,120,60,21676,1,21857
22L,108,26,39075,0,39209
18R,106,176,45053,5,45340
06,106,287,38372,8,38773
28R,102,51,22920,0,23073
28L,102,7,17158,0,17267
08R,101,0,26080,0,26181
10R,94,27,21599,0,21720
04,86,831,15382,26,16325
16,80,4,24335,0,24419
28C,79,8,17557,0,17644
23R,78,49,21995,3,22125
25,78,135,18109,0,18322
09,78,77,17673,4,17832
01,77,354,20597,17,21045
24,74,18,18569,1,18662
01R,74,41,36630,0,36745
12L,73,24,20857,1,20955
26R,73,12,31116,1,31202
08L,70,7,20176,0,20253
07R,69,11,21217,0,21297
22,69,3,29671,0,29743
23,65,188,19173,14,19440
10L,64,61,12571,2,12698
14,63,6,13670,0,13739
24R,61,7,18474,0,18542
30L,61,106,27884,10,28061
01L,58,105,26202,4,26369
19L,57,21,23997,1,24076
25L,56,14,22204,0,22274
35,54,27,5208,0,5289
30,51,21,13407,2,13481
24L,50,5,17272,0,17327
35R,49,34,17425,2,17510
36L,48,62,9932,3,10045
10,46,25,8499,3,8573
18L,44,26,17476,0,17546
23L,44,72,23217,0,23333
12R,42,104,11328,1,11475
19R,39,16,20334,0,20389
17C,39,6,8593,0,8638
20L,38,22,8230,2,8292
25R,37,0,16808,0,16845
11,37,17,7391,0,7445
35L,36,4,12318,0,12358
17L,35,10,15501,0,15546
10C,34,33,4956,0,5023
05R,34,22,8422,2,8480
33L,34,3,18647,0,18684
30R,34,10,16946,0,16990
29,33,41,13637,1,13712
28,32,38,9543,0,9613
16L,31,88,7884,1,8004
34,31,8,11190,2,11231
31R,31,4,10442,0,10477
26,31,5,11720,0,11756
07C,31,11,23514,13,23569
32L,30,178,14889,29,15126
06L,30,16,16479,0,16525
12,29,37,8275,4,8345
15,28,4,7070,0,7102
04L,27,34,6794,1,6856
31,27,6,6944,0,6977
07,27,6,4435,0,4468
05L,26,8,6595,0,6629
14L,26,18,4401,5,4450
21,26,16,9789,1,9832
08,24,21,12091,0,12136
17R,23,37,8080,0,8140
32R,23,52,13720,6,13801
13R,23,6,4940,0,4969
34L,23,9,11556,0,11588
22R,22,7,1934,1,1964
34R,22,184,9996,0,10202
02R,22,1,3964,1,3988
20R,20,27,8688,0,8735
11R,20,141,2404,7,2572
33,20,53,3402,0,3475
36R,20,72,5137,1,5230
03,18,26,4840,0,4884
06R,18,8,3706,0,3732
29R,17,218,985,9,1229
24C,15,0,4155,0,4170
36,15,7,8145,0,8167
31L,15,8,8399,0,8422
11L,14,87,2778,3,2882
29L,13,86,1593,2,1694
07L,13,4,7572,0,7589
06C,12,0,1408,0,1420
02,10,3,1822,1,1836
25C,10,4,8579,0,8593
18C,10,1,8537,0,8548
05,9,15,2994,0,3018
17,8,30,2410,0,2448
02C,8,4,2340,0,2352
35C,8,12,4710,0,4730
21R,7,0,5586,0,5593
21L,7,2,3423,0,3432
31C,7,0,965,0,972
32,7,8,1349,1,1365
14R,7,62,1713,18,1800
20,6,48,1683,2,1739
13,4,0,3978,0,3982
36C,3,2,1311,0,1316
02L,3,29,917,0,949
15L,3,0,224,0,227
34C,2,6,458,0,466
03L,2,0,111,0,113
18,2,1,54,0,57
15R,1,1,649,0,651
03R,1,0,637,0,638
19,1,11,1708,1,1721
33R,1,0,1910,0,1911
13L,0,17,229,0,246
16C,0,2,214,0,216
13C,0,3,146,0,149
27C,0,3,58,0,61
09C,0,1,61,0,62
