model_name,feature_set,validation_roc_auc,validation_average_precision,validation_f1,validation_precision,validation_recall,test_roc_auc,test_average_precision,test_f1,test_precision,test_recall,best_threshold,source_file
mlp,context_metar,0.683333,0.017898,0.031708,0.234097,0.017006,0.684614,0.015975,0.043,0.041789,0.044283,0.13059690271365693,mlp_context_metar.json
lightgbm,context_metar,0.683987,0.015798,0.013761,0.006979,0.487246,0.678807,0.01338,0.029838,0.076923,0.018509,0.8495964077630952,lightgbm_context_metar.json
mlp,context_only,0.615695,0.015688,0.020771,0.217712,0.010906,0.609158,0.012324,0.037242,0.068297,0.025601,0.12435272990309676,mlp_context_only.json
lightgbm,context_only,0.624956,0.012665,0.011201,0.005676,0.419039,0.573106,0.009666,0.030935,0.086098,0.018855,0.7959860919018692,lightgbm_context_only.json
random_forest,context_metar,0.680666,0.011904,0.015913,0.008113,0.411275,0.689583,0.011471,0.037176,0.029126,0.051375,0.7454381462077403,random_forest_context_metar.json
random_forest,context_only,0.632869,0.011408,0.00957,0.004826,0.561368,0.639375,0.010587,0.031526,0.09612,0.018855,0.7119792318668332,random_forest_context_only.json
lda,context_metar,0.671031,0.010221,0.033797,0.032258,0.03549,0.681445,0.010008,0.033941,0.022486,0.069192,0.30585717252468636,lda_context_metar.json
logreg,context_metar,0.677911,0.009823,0.011656,0.005889,0.563771,0.690762,0.010203,0.033271,0.019882,0.101885,0.8138344133046498,logreg_context_metar.json
lda,context_only,0.618382,0.007685,0.021238,0.034497,0.015342,0.625588,0.007453,0.024106,0.030185,0.020066,0.2525466041301433,lda_context_only.json
logreg,context_only,0.624229,0.007194,0.009612,0.004851,0.51146,0.629307,0.007015,0.025008,0.033181,0.020066,0.8025681789777412,logreg_context_only.json
